source,stress_score,academic_workload_score,study_time_score,sleep_hours_score,stress_trend,workload_trend,study_trend,sleep_trend,mfbi_score,burnout_risk_level,next_week_number
synthetic_balance,37.2,4.2,9.9,90.23,-1.7328,-0.2691,-0.4247,5.6838,0.836,High,3.0
synthetic,22.96,3.64,6.35,77.0,-5.76,-0.5,0.76,-1.77,0.5593,Moderate,
synthetic,31.93,2.86,1.8,25.41,0.52,-0.09,-0.94,-5.22,0.3721,Low,
real,30.0,7.5,18.75,70.0,0.0,0.0,0.0,0.0,0.7375,Moderate,4.0
real,5.0,3.13,6.5,25.0,0.0,0.0,0.0,0.0,0.237,Moderate,2.0
synthetic,2.8,2.24,7.62,28.39,-4.13,0.08,-0.17,-1.06,0.3032,Low,
real,20.0,5.0,12.75,40.0,0.0,0.6200000000000001,-3.130000000000001,5.0,0.4775,Moderate,3.0
synthetic_balance,21.52,6.98,9.18,76.44,-0.1221,-0.2171,0.4631,6.9125,0.684,High,3.0
synthetic_balance,6.32,0.59,6.2,56.19,2.7036,0.2115,0.2782,-0.231,0.3367,Low,2.0
real,23.0,6.25,13.13,45.0,3.0,2.5,1.0,-10.0,0.5438,Moderate,4.0
real,8.0,1.25,4.38,15.0,0.0,0.0,0.0,0.0,0.1626,Low,4.0
real,28.0,7.5,15.25,70.0,-4.0,1.87,-3.75,-5.0,0.69,Moderate,3.0
synthetic_balance,33.09,8.21,8.96,87.63,-1.5027,-0.5708,0.0867,3.5588,0.8233,High,2.0
synthetic_balance,35.17,4.85,10.95,71.94,-4.2433,-0.1465,-0.2169,-12.1846,0.7635,High,3.0
synthetic_balance,32.58,9.03,11.39,9.75,1.0526,0.1372,0.2722,6.2827,0.6878,High,3.0
synthetic,21.01,0.64,8.31,74.31,-2.07,0.62,-0.13,8.91,0.5062,Moderate,
synthetic,29.38,4.44,2.52,91.1,-0.04,1.66,0.16,-3.8,0.575,Moderate,
real,30.0,8.75,18.38,60.0,0.0,0.0,0.0,0.0,0.7401,Moderate,2.0
synthetic_balance,38.46,7.23,7.19,78.37,-4.1311,0.5393,0.5134,-16.9904,0.7579,High,2.0
real,34.0,8.13,21.5,85.0,0.0,0.0,0.0,0.0,0.8433,High,4.0
real,29.0,8.75,12.75,70.0,0.0,0.0,0.0,0.0,0.7025,Moderate,2.0
real,27.0,6.88,18.38,80.0,0.0,0.0,0.0,0.0,0.7246,High,2.0
real,33.0,6.25,21.88,80.0,0.0,-1.8800000000000008,0.0,0.0,0.7813,Moderate,4.0
synthetic,28.29,4.06,7.32,49.71,3.43,-0.01,0.28,-6.52,0.555,Moderate,
synthetic_balance,4.99,3.67,1.88,71.25,-6.2944,0.8334,-0.294,-6.0452,0.3173,Low,2.0
synthetic_balance,8.08,3.43,6.07,32.26,1.3658,0.7958,0.1931,0.2146,0.3256,Low,2.0
synthetic_balance,2.15,2.25,8.62,39.72,-1.5713,-0.3249,-2.4357,14.2497,0.3319,Low,3.0
real,10.0,3.75,6.88,20.0,-19.0,-5.0,-11.5,-50.0,0.2751,High,3.0
real,30.0,7.5,15.88,65.0,0.0,0.0,0.0,0.0,0.6963,Moderate,2.0
real,20.0,5.0,15.88,50.0,0.0,0.0,0.0,0.0,0.5338,High,4.0
real,26.0,9.38,10.0,80.0,0.0,0.0,0.0,0.0,0.697,Moderate,2.0
real,32.0,7.5,18.38,80.0,21.0,3.75,17.13,50.0,0.7713,High,3.0
synthetic_balance,4.47,4.69,6.5,6.03,-5.0727,0.6381,0.6861,-1.9047,0.3259,Low,2.0
synthetic,20.54,1.6,8.16,71.91,-1.68,0.57,0.65,2.82,0.5184,Moderate,
synthetic,38.27,3.49,7.19,78.52,1.75,-0.68,0.5,16.48,0.6726,High,
synthetic,19.19,2.77,1.17,51.36,0.32,-0.07,1.34,14.55,0.3419,Moderate,
synthetic_balance,26.14,9.36,10.53,85.22,-1.7566,-0.0287,0.7132,19.0987,0.8475,High,2.0
synthetic,33.78,1.04,11.55,61.73,4.9,0.31,-0.05,7.18,0.632,Moderate,
synthetic,14.54,1.24,4.62,91.55,1.0,0.57,0.76,-5.83,0.447,Moderate,
synthetic_balance,27.64,5.87,9.0,67.09,0.8209,-0.1748,1.7315,2.7884,0.6822,High,2.0
synthetic_balance,13.01,1.64,10.18,9.56,0.0266,-0.1942,1.2316,0.7089,0.3494,Low,3.0
synthetic_balance,38.88,10.0,5.24,33.3,0.1012,0.3636,0.4579,3.4327,0.7007,High,2.0
synthetic,18.05,3.62,9.16,81.6,-4.61,-1.19,0.42,8.21,0.5983,Moderate,
synthetic_balance,9.48,9.1,10.12,83.42,-6.6366,1.0094,-1.0775,10.7606,0.7112,High,3.0
synthetic,18.46,0.13,7.31,23.09,1.09,0.4,0.23,6.1,0.3287,Low,
synthetic,18.12,5.4,7.07,27.1,1.86,-0.15,0.21,10.13,0.4632,Moderate,
synthetic_balance,32.62,2.94,1.44,29.12,0.8842,0.008,-0.7054,-5.6192,0.3647,Low,2.0
real,9.0,3.75,9.63,30.0,-20.0,-3.13,-8.749999999999998,-60.0,0.3213,High,4.0
synthetic_balance,35.09,1.3,9.93,85.5,2.183,0.1244,-0.2146,-2.8479,0.6995,High,3.0
synthetic_balance,33.32,8.63,10.99,13.66,1.8719,0.0422,0.3847,5.9495,0.6788,High,2.0
real,13.0,4.38,4.38,0.0,0.0,0.0,0.0,0.0,0.2346,Moderate,4.0
synthetic_balance,25.89,6.37,9.55,68.83,1.1974,-0.1751,1.7091,1.3244,0.665,High,3.0
real,6.0,1.25,6.5,30.0,-1.0,-2.5,2.12,5.0,0.2088,Low,4.0
real,11.0,3.75,1.25,30.0,0.0,0.0,0.0,0.0,0.25,High,2.0
synthetic_balance,19.33,4.17,12.22,40.26,-1.8562,-3.8141,0.4823,-20.7783,0.4559,Low,2.0
real,20.0,6.25,15.25,35.0,-5.0,-1.8800000000000008,-3.75,-35.0,0.5213,Low,3.0
synthetic,13.49,7.39,7.35,93.48,3.71,0.18,-0.15,-13.97,0.6559,Moderate,
synthetic_balance,6.65,0.03,3.36,37.87,-3.1236,1.2952,0.3413,10.2677,0.2293,Low,2.0
synthetic_balance,34.65,5.24,8.4,78.84,0.7642,0.2606,-0.322,-3.9285,0.706,High,2.0
real,31.0,6.25,18.38,75.0,0.0,0.0,0.0,0.0,0.7213,High,2.0
synthetic,30.38,4.01,2.95,44.15,0.04,0.92,-0.7,-1.94,0.4619,Moderate,
synthetic,36.42,8.85,6.69,24.36,1.29,0.16,1.27,1.94,0.649,High,
synthetic_balance,19.26,8.88,12.12,70.41,-2.3406,-0.0537,0.2268,-11.8897,0.7558,High,3.0
synthetic,10.48,1.18,3.04,5.34,0.18,-0.65,0.81,-11.22,0.1716,Low,
real,9.0,3.13,4.38,40.0,-25.0,-4.37,-14.0,-50.0,0.2783,High,4.0
synthetic_balance,39.41,8.96,5.29,78.33,-0.6119,-1.3324,-0.6204,-1.8566,0.7691,High,2.0
synthetic,24.25,5.96,5.48,15.42,1.24,0.06,-1.08,-12.81,0.4533,Moderate,
synthetic_balance,38.73,4.23,11.06,84.2,-1.5035,-0.5994,0.9903,-11.1218,0.7736,High,2.0
synthetic,3.08,1.16,10.83,24.89,0.49,0.63,0.68,-6.71,0.3363,Low,
synthetic,32.61,4.55,11.82,45.0,-1.89,-0.54,0.26,1.8,0.6765,Moderate,
synthetic,34.86,0.47,2.76,33.82,-1.32,-0.06,0.82,-7.65,0.3716,Low,
real,21.0,6.25,13.13,35.0,0.0,0.0,0.0,0.0,0.5063,Low,4.0
synthetic,14.96,9.55,11.42,42.29,1.27,-0.7,0.27,-10.71,0.676,Moderate,
synthetic_balance,18.63,8.08,7.42,72.79,2.5047,-0.3703,-0.313,13.6092,0.6597,High,3.0
synthetic_balance,35.16,5.09,10.05,80.53,-1.7127,-1.0133,0.0492,0.8039,0.731,High,2.0
synthetic,12.23,9.04,4.74,64.2,-0.18,-0.73,0.72,-1.65,0.5618,Moderate,
synthetic,36.13,9.26,4.51,57.77,4.24,2.16,-0.75,-4.02,0.6956,High,
real,11.0,1.88,3.75,25.0,0.0,0.0,0.0,0.0,0.2158,Moderate,4.0
synthetic,32.89,5.16,5.18,63.72,-2.4,0.35,-0.96,-0.4,0.6017,Moderate,
real,11.0,1.88,4.38,35.0,0.0,0.0,0.0,0.0,0.2471,Moderate,4.0
synthetic,26.3,5.13,1.72,25.35,0.39,0.04,-0.25,-2.74,0.3919,Low,
synthetic_balance,36.35,10.0,9.63,55.3,3.3034,-0.8197,-1.2598,5.7575,0.7762,High,2.0
synthetic_balance,34.12,2.48,9.87,76.75,3.9585,-0.2609,0.4903,12.3595,0.6939,High,2.0
synthetic_balance,34.07,5.84,9.23,71.32,-0.6737,0.1409,1.4602,-10.91,0.7341,High,2.0
synthetic_balance,19.37,0.64,3.49,63.65,-6.9374,1.1492,0.3496,-0.9169,0.3628,Low,2.0
synthetic_balance,0.0,7.68,0.88,29.97,2.7306,-0.3008,0.3516,-1.8666,0.2801,Low,3.0
synthetic,7.0,6.22,6.27,93.62,0.38,-1.24,-1.15,-2.17,0.5641,Moderate,
synthetic_balance,2.26,3.8,11.12,5.42,-5.039,0.3984,0.1586,-6.949,0.3712,Low,3.0
synthetic,29.05,4.26,9.68,35.73,2.55,-1.42,-0.88,-2.88,0.579,Moderate,
synthetic,35.32,9.97,9.44,45.63,3.04,-0.78,-1.22,8.06,0.7808,High,
synthetic,12.43,6.45,1.95,35.5,-6.33,0.63,-0.43,2.62,0.3683,Low,
synthetic,37.27,0.91,10.96,72.16,-3.86,1.55,0.32,-2.32,0.6644,Moderate,
synthetic_balance,5.81,9.26,4.4,10.91,-2.0926,-0.8371,0.6152,7.9759,0.37,Low,3.0
real,30.0,7.5,18.75,65.0,23.0,3.75,6.0,50.0,0.725,Low,4.0
synthetic_balance,20.21,1.28,6.98,28.35,0.6972,-0.6355,0.6068,-2.3822,0.3482,Low,2.0
synthetic_balance,40.0,1.03,10.72,68.71,3.9946,0.3549,-0.7646,11.4369,0.6738,High,3.0
synthetic_balance,35.02,9.7,3.7,61.98,1.7872,0.2763,-0.5379,-13.205,0.7191,High,3.0
synthetic,28.13,3.16,8.22,5.98,3.67,-0.22,1.46,-1.68,0.4411,Moderate,
real,10.0,3.13,6.88,20.0,-22.0,-3.75,-12.12,-60.0,0.2596,Moderate,3.0
synthetic_balance,5.08,3.18,0.64,68.9,-6.016,0.7869,-0.6534,-6.3676,0.3426,Low,2.0
synthetic,24.73,6.49,3.71,76.93,-2.04,-0.82,-0.65,9.35,0.5863,Moderate,
synthetic_balance,38.09,9.48,3.48,66.1,0.7503,0.0856,-0.4927,-14.4081,0.6843,High,3.0
real,12.0,1.88,4.38,15.0,0.0,0.0,0.0,0.0,0.2033,High,4.0
synthetic_balance,7.93,0.0,5.81,56.39,3.3182,-0.2737,2.3207,0.2979,0.3435,Low,2.0
synthetic,13.5,1.43,8.96,50.0,-0.7,0.21,-1.7,9.07,0.4318,Moderate,
synthetic_balance,22.49,5.42,11.51,85.14,3.4365,1.1918,1.3132,-7.6614,0.7154,High,2.0
synthetic,29.72,6.75,2.42,9.85,1.77,-1.05,0.15,4.22,0.4295,Moderate,
real,31.0,8.13,12.75,80.0,0.0,0.0,0.0,0.0,0.7245,Moderate,2.0
synthetic,38.67,1.38,5.37,42.16,-1.25,-0.14,-0.81,2.99,0.4933,Moderate,
real,16.0,3.75,12.75,45.0,0.0,0.0,0.0,0.0,0.4338,Moderate,4.0
real,13.0,2.5,4.38,35.0,0.0,0.0,0.0,0.0,0.2751,Moderate,4.0
real,22.0,3.13,10.0,55.0,0.0,0.0,0.0,0.0,0.4533,High,4.0
synthetic_balance,37.18,6.89,7.44,71.6,-3.6899,0.3994,1.0431,-19.1342,0.7587,High,2.0
synthetic_balance,29.23,2.72,1.57,27.33,2.2703,-0.1583,0.4491,-7.8294,0.3469,Low,3.0
synthetic_balance,31.37,10.0,7.83,72.25,-1.8829,-0.8385,0.1198,2.1833,0.7718,High,2.0
real,31.0,7.5,19.0,80.0,15.0,1.25,9.37,25.0,0.7713,Low,4.0
synthetic,5.87,3.37,1.75,67.63,-6.11,0.74,-0.56,-6.02,0.3264,Low,
synthetic_balance,21.1,7.03,7.55,92.77,-0.1271,0.4443,-0.5852,5.4442,0.6756,High,3.0
synthetic,3.54,9.58,8.31,57.48,-3.11,-0.09,1.19,4.46,0.5786,Moderate,
synthetic_balance,18.68,0.39,8.82,29.6,-1.6208,0.8697,0.2181,-10.0824,0.4018,Low,2.0
real,7.0,1.25,4.38,30.0,0.0,0.0,0.0,0.0,0.1938,Moderate,4.0
synthetic,26.45,3.4,9.58,12.99,-2.73,1.6,-1.07,4.72,0.4821,Moderate,
synthetic_balance,14.04,2.69,0.73,52.09,0.6323,-1.9256,1.55,-2.2014,0.2878,Low,3.0
synthetic_balance,29.31,8.45,10.02,58.22,-1.0549,0.6867,-0.1785,7.5503,0.7484,High,2.0
synthetic,29.05,7.97,4.24,61.78,-0.59,-0.85,0.97,5.2,0.6238,Moderate,
synthetic_balance,35.22,9.5,4.12,68.43,0.0814,0.1151,-0.3064,-15.7726,0.7126,High,2.0
real,16.0,5.0,12.75,45.0,0.0,0.0,0.0,0.0,0.465,High,4.0
synthetic,23.29,4.46,0.91,13.47,-2.09,2.13,-0.5,-5.17,0.3096,Low,
synthetic,3.59,3.39,5.72,41.69,0.38,0.08,-0.35,6.9,0.3307,Low,
synthetic_balance,19.04,2.43,6.34,8.03,2.774,-0.4411,-0.2343,3.0529,0.3461,Low,2.0
real,23.0,4.38,12.13,60.0,0.0,0.0,0.0,0.0,0.5246,Moderate,2.0
synthetic,31.46,0.23,3.94,4.56,1.73,1.38,-0.54,5.25,0.2959,Low,
real,18.0,5.0,10.0,55.0,-14.0,-3.130000000000001,-11.88,-30.0,0.475,High,4.0
synthetic_balance,31.14,3.0,8.82,10.88,-1.1291,-1.9651,-0.585,-3.1143,0.4729,Low,3.0
synthetic,2.18,4.29,9.94,56.19,3.17,-0.19,1.01,8.78,0.4685,Moderate,
synthetic,33.67,4.15,0.56,17.57,2.32,-0.14,0.69,-5.79,0.3697,Low,
real,9.0,3.13,6.88,25.0,0.0,0.0,0.0,0.0,0.2658,Low,4.0
synthetic_balance,23.15,9.48,10.69,97.78,3.3453,0.7177,0.1933,3.626,0.8323,High,3.0
synthetic_balance,33.31,5.15,12.13,87.8,-3.6504,1.2796,0.1773,3.3753,0.8411,High,2.0
synthetic_balance,38.87,7.77,7.77,100.0,-2.7277,0.2067,-0.4531,3.9002,0.8299,High,3.0
synthetic_balance,23.35,7.39,7.77,78.58,-0.3092,-0.1873,0.2718,7.3317,0.684,High,2.0
real,8.0,1.25,10.0,25.0,0.0,0.0,0.0,0.0,0.2438,Moderate,2.0
synthetic_balance,14.01,0.19,1.45,40.3,0.7139,0.2988,-0.0608,-3.3934,0.2226,Low,2.0
synthetic,14.9,5.94,3.47,13.41,2.33,-0.42,-0.67,-4.11,0.3474,Low,
synthetic,33.62,7.54,6.73,63.01,-4.59,-0.9,-1.1,7.67,0.6962,Moderate,
real,9.0,1.25,6.5,35.0,0.0,0.0,0.0,0.0,0.24,Low,4.0
real,25.0,5.63,15.25,75.0,-4.0,-2.500000000000001,-6.25,0.0,0.637,High,4.0
synthetic_balance,22.02,5.97,4.53,5.41,-0.2016,-0.1452,0.0849,-0.0656,0.4041,Low,3.0
synthetic_balance,32.07,3.11,2.04,25.34,0.9759,-0.1084,-1.2059,-4.3787,0.3651,Low,3.0
synthetic,2.44,6.17,3.64,68.55,4.99,0.62,-0.44,-1.05,0.4167,Moderate,
real,33.0,8.13,12.75,95.0,14.0,4.380000000000001,2.75,45.0,0.7745,Moderate,4.0
real,31.0,6.88,21.88,70.0,0.0,0.0,0.0,0.0,0.7595,Low,4.0
real,33.0,9.38,21.5,75.0,23.0,5.630000000000001,14.62,55.0,0.8433,Moderate,4.0
real,21.0,5.0,15.25,45.0,11.0,1.87,8.75,15.0,0.5213,Moderate,4.0
synthetic,1.97,1.82,8.58,38.86,-1.89,-0.24,-2.34,15.66,0.3337,Low,
real,15.0,2.5,7.5,20.0,0.0,0.0,0.0,0.0,0.2813,Low,2.0
synthetic,16.87,0.32,11.63,48.21,-4.33,1.37,0.81,-3.19,0.4762,Moderate,
synthetic,29.33,2.84,6.61,76.26,-1.61,-0.16,-2.48,-10.4,0.5826,Moderate,
real,24.0,2.5,12.75,60.0,-4.0,-5.0,-2.5,-10.0,0.49,Moderate,4.0
real,23.0,5.0,13.13,60.0,2.0,0.6200000000000001,0.0,15.0,0.5501,High,4.0
real,8.0,1.88,4.38,20.0,-6.0,1.25,-8.370000000000001,15.0,0.1908,Moderate,3.0
synthetic_balance,21.62,4.49,1.23,44.9,-0.4029,0.754,-0.3228,-15.3615,0.3854,Low,3.0
real,15.0,5.0,15.88,50.0,-7.0,1.87,5.880000000000001,0.0,0.5026,High,3.0
real,21.0,4.38,13.13,45.0,-14.0,-3.750000000000001,-5.869999999999999,-45.0,0.4846,High,3.0
real,30.0,8.13,18.38,75.0,22.0,6.250000000000001,17.13,45.0,0.7621,Moderate,3.0
synthetic,34.55,4.12,8.9,43.67,-0.23,-0.52,-0.94,-2.52,0.6137,Moderate,
real,23.0,5.0,15.88,65.0,0.0,0.0,0.0,0.0,0.5901,Low,2.0
synthetic,23.67,6.07,7.39,4.09,0.93,0.58,-1.34,2.98,0.4639,Moderate,
synthetic_balance,32.16,7.39,11.99,54.46,-1.5439,-0.9895,1.1234,4.0915,0.7763,High,3.0
synthetic_balance,38.16,6.65,8.22,85.27,-4.8096,0.0296,-0.4483,2.2178,0.7483,High,2.0
synthetic_balance,1.58,1.45,8.59,8.34,-4.9658,0.7708,-0.6016,-3.6149,0.2671,Low,2.0
real,8.0,1.88,10.0,45.0,-26.0,-6.250000000000001,-2.75,-35.0,0.3095,High,4.0
real,28.0,8.75,21.5,70.0,0.0,0.0,0.0,0.0,0.7837,High,4.0
real,18.0,5.0,10.0,60.0,0.0,0.0,0.0,0.0,0.4875,Moderate,2.0
real,12.0,3.13,7.5,40.0,0.0,0.0,0.0,0.0,0.3283,Low,2.0
synthetic,8.98,3.83,3.39,0.68,1.16,-0.12,1.11,-13.04,0.2243,Low,
synthetic_balance,28.47,9.36,10.98,87.73,-1.4224,-0.1456,0.9741,21.6266,0.8508,High,2.0
real,26.0,5.63,12.75,55.0,0.0,0.0,0.0,0.0,0.5683,High,4.0
synthetic_balance,36.97,7.86,11.59,56.67,-2.5285,0.2405,0.9881,-10.9363,0.8061,High,2.0
synthetic_balance,35.6,9.11,4.22,66.64,1.4983,0.0888,-0.3952,-13.8915,0.7041,High,3.0
real,12.0,3.75,6.88,35.0,0.0,0.0,0.0,0.0,0.3251,Low,2.0
synthetic,16.1,6.12,7.13,60.96,0.6,-1.01,0.59,-2.94,0.5546,Moderate,
real,29.0,7.5,25.0,65.0,7.0,1.25,17.5,-5.0,0.7813,Moderate,3.0
synthetic,21.78,1.71,5.88,34.63,-3.97,-0.88,-0.05,2.89,0.3879,Low,
real,21.0,7.5,12.13,60.0,0.0,0.0,0.0,0.0,0.5901,Moderate,2.0
synthetic_balance,4.3,5.58,5.63,16.3,-0.093,0.7742,0.5381,3.6229,0.2961,Low,2.0
synthetic_balance,9.37,6.44,1.24,16.78,5.6855,0.2208,-0.9949,3.8011,0.2897,Low,2.0
real,18.0,4.38,6.88,55.0,10.0,2.5,5.63,35.0,0.4283,Moderate,4.0
real,20.0,3.75,12.13,55.0,15.0,0.6200000000000001,5.630000000000001,30.0,0.4776,Moderate,3.0
synthetic_balance,22.63,7.89,6.43,69.07,2.9423,-0.2965,-0.4516,18.1312,0.6447,High,2.0
synthetic,38.04,1.02,4.84,36.02,0.08,-0.35,0.22,-4.55,0.4542,Moderate,
synthetic_balance,36.11,9.78,1.65,91.91,-0.8138,0.4615,-1.377,-4.0866,0.7555,High,2.0
synthetic_balance,35.57,9.22,10.69,31.21,4.3775,-0.1283,-0.0808,7.7634,0.7689,High,2.0
synthetic,37.84,6.31,6.23,39.7,5.27,0.62,1.41,-5.77,0.6233,Moderate,
synthetic,1.6,6.52,8.07,99.3,-0.23,0.45,-0.31,-16.73,0.5894,Moderate,
real,11.0,1.88,6.88,30.0,0.0,0.0,0.0,0.0,0.2596,Low,4.0
real,32.0,6.88,18.75,70.0,9.0,2.5,3.5,15.0,0.7345,High,4.0
real,12.0,3.75,9.63,10.0,-6.0,-1.88,2.750000000000001,-40.0,0.2901,High,3.0
synthetic,24.25,4.88,11.74,9.19,6.04,-1.19,-0.63,1.66,0.5412,Moderate,
synthetic_balance,21.94,8.41,12.04,78.8,-1.325,-0.2069,0.1164,-9.0594,0.7757,High,2.0
synthetic,24.01,1.71,9.96,79.94,1.68,0.65,0.27,-11.61,0.6,Moderate,
real,27.0,6.88,25.0,75.0,0.0,0.0,0.0,0.0,0.7783,Low,2.0
synthetic,20.63,0.2,4.26,21.05,-3.4,-0.76,0.07,13.7,0.2753,Low,
synthetic_balance,1.12,3.67,11.82,24.08,-5.3308,0.7305,0.2387,-8.8351,0.3474,Low,3.0
synthetic,9.21,9.79,10.24,80.07,-6.42,1.0,-1.08,8.97,0.7157,High,
real,24.0,5.63,18.38,50.0,15.0,3.75,14.63,25.0,0.5995,High,3.0
real,23.0,4.38,13.13,50.0,-1.0,-1.87,-5.249999999999998,-10.0,0.5095,High,3.0
synthetic_balance,34.53,5.19,8.64,76.66,0.1853,0.2069,-0.29,-4.5972,0.7023,High,2.0
synthetic,2.28,4.67,4.46,47.48,1.22,-0.29,0.18,3.72,0.3425,Low,
real,13.0,2.5,6.5,35.0,0.0,0.0,0.0,0.0,0.2963,High,4.0
synthetic,26.36,1.36,3.33,53.41,0.88,-0.8,-1.73,7.67,0.4016,Moderate,
synthetic_balance,10.6,5.39,0.52,10.44,0.8362,0.5966,-0.286,5.2972,0.2565,Low,3.0
real,27.0,8.13,15.25,80.0,0.0,0.0,0.0,0.0,0.7245,Moderate,4.0
synthetic_balance,28.26,2.75,1.5,29.4,5.0914,0.3849,0.0059,1.2492,0.3271,Low,2.0
real,31.0,6.88,18.38,85.0,0.0,0.0,0.0,0.0,0.7621,Moderate,4.0
real,23.0,5.63,10.0,40.0,-6.0,-3.12,-2.75,-30.0,0.4845,High,3.0
synthetic,14.6,8.8,8.46,16.09,-5.54,0.41,1.22,-14.38,0.5276,Moderate,
synthetic,28.02,2.21,9.25,15.94,-0.52,-0.2,-0.24,2.11,0.4628,Moderate,
real,28.0,6.88,21.5,75.0,1.0,-1.87,3.120000000000001,-15.0,0.7495,Low,4.0
synthetic_balance,11.18,2.03,1.68,74.21,-1.8919,0.1035,-0.846,-6.1064,0.3293,Low,2.0
synthetic,37.12,4.0,3.78,90.24,-0.01,-0.0,-0.17,-2.56,0.6364,Moderate,
real,32.0,6.88,21.88,65.0,15.0,3.13,9.749999999999998,0.0,0.7533,High,3.0
real,29.0,8.13,21.88,85.0,-3.0,0.6300000000000008,3.5,5.0,0.8158,High,4.0
real,10.0,1.88,6.5,25.0,0.0,0.0,0.0,0.0,0.237,High,2.0
real,9.0,1.25,6.5,25.0,0.0,0.0,0.0,0.0,0.215,Low,2.0
synthetic,34.73,2.7,5.1,4.92,-0.86,0.0,-0.04,6.71,0.4032,Moderate,
synthetic_balance,35.6,1.18,12.13,94.24,-3.6957,1.0639,-1.2688,-7.4687,0.7243,High,2.0
synthetic,30.31,6.75,10.77,96.46,-2.62,-2.53,-0.88,-9.92,0.8237,Moderate,
