source,student_id,term_id,week_number,stress_score,academic_workload_score,study_time_score,sleep_hours_score,mfbi_score,burnout_risk_level
synthetic,,,,25.32,2.88,8.95,20.24,0.4674,Moderate
synthetic,,,,27.79,8.61,2.02,61.44,0.5845,Moderate
synthetic,,,,3.8,7.26,1.47,93.59,0.4698,Moderate
synthetic,,,,5.5,9.59,9.71,59.37,0.6248,Moderate
synthetic,,,,31.3,7.95,11.38,25.34,0.6948,High
synthetic,,,,23.6,0.95,7.59,17.13,0.3721,Low
synthetic,,,,22.6,5.72,5.86,52.26,0.5371,Moderate
synthetic,,,,30.56,7.99,6.16,59.96,0.669,Moderate
synthetic,,,,37.25,1.2,1.85,8.77,0.3231,Low
synthetic,,,,26.31,4.19,9.4,67.12,0.6329,Moderate
synthetic,,,,13.35,8.98,9.27,27.05,0.5687,Moderate
synthetic,,,,14.57,3.14,2.31,14.78,0.2548,Low
synthetic,,,,37.45,4.38,4.91,72.97,0.6282,Moderate
synthetic,,,,22.12,9.36,9.47,47.94,0.6895,Moderate
synthetic,,,,15.05,9.87,8.75,95.12,0.7609,High
synthetic,,,,4.74,8.51,7.83,12.19,0.4358,Moderate
synthetic,,,,23.53,6.86,0.64,45.43,0.4455,Moderate
synthetic,,,,33.02,2.95,5.77,44.23,0.511,Moderate
synthetic,,,,12.08,9.18,9.48,11.06,0.5303,Moderate
synthetic,,,,39.88,8.79,3.76,83.69,0.7567,High
synthetic,,,,4.26,9.99,8.16,65.01,0.6088,Moderate
synthetic,,,,3.62,8.97,0.83,24.08,0.3244,Low
synthetic,,,,5.72,7.77,2.78,91.06,0.5155,Moderate
synthetic,,,,26.25,0.36,0.56,5.17,0.1977,Low
synthetic,,,,24.24,8.01,3.24,84.94,0.6318,Moderate
synthetic,,,,2.29,8.01,11.17,77.21,0.6403,Moderate
synthetic,,,,27.92,8.38,0.96,20.18,0.4545,Moderate
synthetic,,,,5.0,5.05,9.07,63.0,0.5038,Moderate
synthetic,,,,34.05,1.55,8.95,19.3,0.4863,Moderate
synthetic,,,,10.83,7.1,11.77,61.15,0.6433,Moderate
synthetic,,,,2.18,6.16,0.99,88.41,0.4093,Moderate
synthetic,,,,28.38,1.73,1.55,18.35,0.299,Low
synthetic,,,,39.2,4.59,9.52,63.64,0.717,High
synthetic,,,,22.9,1.45,11.38,30.13,0.4918,Moderate
synthetic,,,,23.12,7.0,7.97,94.06,0.7206,High
synthetic,,,,5.94,5.08,5.15,47.42,0.39,Low
synthetic,,,,4.77,1.34,3.7,30.47,0.2165,Low
synthetic,,,,17.12,6.11,7.8,41.18,0.5251,Moderate
synthetic,,,,16.35,2.18,7.27,31.7,0.3872,Low
synthetic,,,,1.44,4.18,5.95,22.56,0.294,Low
synthetic,,,,22.9,5.66,8.57,64.79,0.6251,Moderate
synthetic,,,,26.1,3.16,9.56,54.91,0.5785,Moderate
synthetic,,,,17.26,6.26,4.65,51.27,0.4894,Moderate
synthetic,,,,29.47,8.86,11.09,50.36,0.7628,High
synthetic,,,,20.81,8.0,4.12,83.74,0.6251,Moderate
synthetic,,,,19.77,1.16,1.33,84.2,0.3907,Moderate
synthetic,,,,2.22,2.81,4.34,17.3,0.2178,Low
synthetic,,,,12.56,7.43,0.67,82.72,0.4849,Moderate
synthetic,,,,34.26,3.72,2.27,60.08,0.5046,Moderate
synthetic,,,,4.79,3.65,11.52,99.55,0.6101,Moderate
synthetic,,,,30.88,3.11,8.41,70.54,0.6223,Moderate
synthetic,,,,15.51,6.41,0.62,20.91,0.3224,Low
synthetic,,,,21.0,1.64,2.41,83.63,0.4315,Moderate
synthetic,,,,39.57,5.56,10.15,99.03,0.8453,High
synthetic,,,,5.66,4.48,5.01,8.0,0.2719,Low
synthetic,,,,30.21,4.34,5.9,15.07,0.4578,Moderate
synthetic,,,,7.24,9.07,1.01,23.29,0.3513,Low
synthetic,,,,11.68,4.9,7.24,49.33,0.4698,Moderate
synthetic,,,,3.36,2.44,10.2,63.76,0.4539,Moderate
synthetic,,,,25.97,6.7,9.27,5.81,0.5376,Moderate
synthetic,,,,14.66,5.4,4.39,84.45,0.5292,Moderate
synthetic,,,,19.3,7.69,10.3,50.48,0.6535,Moderate
synthetic,,,,36.38,5.87,10.28,34.06,0.6734,Moderate
synthetic,,,,19.95,5.31,1.71,39.86,0.3928,Moderate
synthetic,,,,36.69,6.31,2.54,33.89,0.5247,Moderate
synthetic,,,,7.66,0.25,11.17,44.82,0.3988,Moderate
synthetic,,,,12.3,5.98,0.58,27.8,0.3082,Low
synthetic,,,,28.12,6.34,11.79,62.04,0.7349,High
synthetic,,,,19.1,7.61,10.89,72.07,0.7167,High
synthetic,,,,38.53,7.82,10.47,11.41,0.6829,Moderate
synthetic,,,,29.3,4.4,6.86,65.41,0.5996,Moderate
synthetic,,,,38.79,9.85,3.81,73.38,0.7515,High
synthetic,,,,30.0,3.46,1.92,4.09,0.3244,Low
synthetic,,,,31.09,4.9,11.83,46.5,0.6795,Moderate
synthetic,,,,39.12,4.12,9.63,8.48,0.5691,Moderate
synthetic,,,,22.22,8.02,11.13,82.26,0.777,High
synthetic,,,,1.48,3.73,1.06,10.93,0.1518,Low
synthetic,,,,27.01,7.13,9.4,86.55,0.7593,High
synthetic,,,,29.58,8.01,1.06,23.45,0.4659,Moderate
synthetic,,,,24.88,8.58,0.55,51.46,0.5102,Moderate
synthetic,,,,27.09,0.3,5.12,89.56,0.5072,Moderate
synthetic,,,,26.86,2.38,10.31,34.8,0.5291,Moderate
synthetic,,,,34.13,2.99,7.29,39.69,0.5392,Moderate
synthetic,,,,10.99,8.87,2.66,8.48,0.3669,Low
synthetic,,,,13.68,7.18,9.79,99.87,0.7184,High
synthetic,,,,11.85,4.08,2.07,57.49,0.363,Low
synthetic,,,,39.9,7.01,7.34,39.24,0.6757,Moderate
synthetic,,,,36.61,4.97,2.05,36.54,0.487,Moderate
synthetic,,,,2.69,2.02,0.7,45.33,0.1953,Low
synthetic,,,,25.38,3.43,5.33,95.92,0.5954,Moderate
synthetic,,,,30.08,5.41,3.77,89.7,0.626,Moderate
synthetic,,,,9.4,3.25,10.95,52.95,0.5007,Moderate
synthetic,,,,29.69,5.91,8.01,29.94,0.5751,Moderate
synthetic,,,,9.65,3.22,2.29,87.43,0.4072,Moderate
synthetic,,,,11.33,5.61,9.61,78.38,0.6073,Moderate
synthetic,,,,17.54,4.76,11.94,67.46,0.646,Moderate
synthetic,,,,32.59,9.03,9.56,18.52,0.6747,Moderate
synthetic,,,,22.49,1.02,8.01,95.53,0.5717,Moderate
synthetic,,,,20.51,4.33,0.91,95.98,0.4954,Moderate
synthetic,,,,4.12,0.41,3.33,6.55,0.1218,Low
synthetic,,,,18.2,5.16,4.09,5.1,0.3408,Low
synthetic,,,,4.46,3.85,1.2,69.82,0.3235,Low
synthetic,,,,8.28,3.02,5.03,41.66,0.3363,Low
synthetic,,,,0.07,1.12,10.42,0.12,0.2459,Low
synthetic,,,,20.33,4.9,4.33,43.13,0.4475,Moderate
synthetic,,,,31.22,8.41,3.49,32.25,0.5589,Moderate
synthetic,,,,9.7,4.8,8.36,22.83,0.4118,Moderate
synthetic,,,,13.23,9.3,1.06,46.08,0.4525,Moderate
synthetic,,,,28.46,1.5,1.04,13.82,0.2718,Low
synthetic,,,,36.75,0.09,2.67,3.13,0.2954,Low
synthetic,,,,4.43,6.2,3.28,56.92,0.3933,Moderate
synthetic,,,,23.61,8.49,0.55,85.34,0.5848,Moderate
synthetic,,,,24.76,1.63,9.39,85.55,0.6049,Moderate
synthetic,,,,10.17,9.19,5.73,60.34,0.5634,Moderate
synthetic,,,,39.39,3.62,9.85,31.84,0.6214,Moderate
synthetic,,,,31.97,6.01,2.99,41.4,0.5157,Moderate
synthetic,,,,12.71,0.78,0.84,34.65,0.2031,Low
synthetic,,,,0.76,1.65,8.84,70.81,0.4073,Moderate
synthetic,,,,29.54,3.17,10.74,59.38,0.636,Moderate
synthetic,,,,5.04,1.44,8.47,17.29,0.2871,Low
synthetic,,,,20.29,9.92,0.55,1.66,0.3903,Moderate
synthetic,,,,39.72,5.85,1.96,89.73,0.6596,Moderate
synthetic,,,,35.22,5.36,7.65,27.32,0.5818,Moderate
synthetic,,,,2.02,5.95,3.89,66.36,0.4082,Moderate
synthetic,,,,33.45,0.18,7.35,23.13,0.4246,Moderate
synthetic,,,,34.96,2.54,7.52,55.35,0.577,Moderate
synthetic,,,,15.85,6.78,8.85,56.69,0.5945,Moderate
synthetic,,,,30.34,9.83,5.32,51.46,0.675,Moderate
synthetic,,,,0.5,7.96,6.48,40.8,0.4392,Moderate
synthetic,,,,3.76,8.9,5.04,68.26,0.5216,Moderate
synthetic,,,,5.97,9.62,2.55,19.95,0.3808,Low
synthetic,,,,34.36,9.13,2.94,46.98,0.6216,Moderate
synthetic,,,,29.34,8.78,4.86,51.7,0.6335,Moderate
synthetic,,,,29.67,7.31,9.5,56.99,0.7087,High
synthetic,,,,4.18,9.04,10.45,79.81,0.6695,Moderate
synthetic,,,,3.99,2.04,9.05,2.31,0.2704,Low
synthetic,,,,39.17,3.77,8.77,88.76,0.7437,High
synthetic,,,,15.79,3.19,7.5,58.1,0.4799,Moderate
synthetic,,,,16.37,6.02,11.26,46.76,0.6042,Moderate
synthetic,,,,7.87,3.77,5.03,13.11,0.2811,Low
synthetic,,,,6.51,6.85,4.4,95.49,0.5423,Moderate
synthetic,,,,9.74,0.99,9.17,88.1,0.4968,Moderate
synthetic,,,,11.12,2.02,2.64,52.2,0.3055,Low
synthetic,,,,18.74,2.59,1.02,48.15,0.3236,Low
synthetic,,,,38.37,6.53,6.2,11.07,0.5598,Moderate
synthetic,,,,10.1,2.95,9.3,87.67,0.5496,Moderate
synthetic,,,,36.07,9.85,11.8,95.3,0.9556,High
synthetic,,,,2.87,1.38,4.0,55.29,0.274,Low
synthetic,,,,3.88,8.46,7.59,54.24,0.5295,Moderate
synthetic,,,,6.61,2.53,2.34,85.19,0.3664,Low
synthetic,,,,23.37,7.35,3.9,37.13,0.504,Moderate
synthetic,,,,16.19,7.6,9.38,20.68,0.5384,Moderate
synthetic,,,,37.66,1.21,10.81,10.04,0.5158,Moderate
synthetic,,,,10.58,8.46,2.56,41.36,0.4346,Moderate
synthetic,,,,17.99,2.45,8.67,85.13,0.5672,Moderate
synthetic,,,,34.98,3.39,6.6,24.84,0.5032,Moderate
synthetic,,,,9.79,1.61,11.31,88.8,0.5591,Moderate
synthetic,,,,31.09,5.18,6.14,52.97,0.5841,Moderate
synthetic,,,,21.46,4.35,2.02,12.57,0.3162,Low
synthetic,,,,38.09,4.82,11.46,16.36,0.6383,Moderate
synthetic,,,,22.18,2.08,3.41,3.01,0.2691,Low
synthetic,,,,4.76,9.17,4.2,60.81,0.4984,Moderate
synthetic,,,,18.6,4.0,6.62,18.72,0.401,Moderate
synthetic,,,,39.54,8.18,9.03,46.88,0.757,High
synthetic,,,,6.12,9.21,4.43,5.01,0.3731,Low
synthetic,,,,13.7,7.94,7.66,75.08,0.6315,Moderate
synthetic,,,,31.75,2.12,11.12,43.8,0.5926,Moderate
synthetic,,,,25.56,0.02,11.92,28.09,0.479,Moderate
synthetic,,,,2.48,4.58,1.98,15.23,0.2095,Low
synthetic,,,,25.29,3.93,11.1,31.92,0.5674,Moderate
synthetic,,,,29.05,4.61,8.09,59.97,0.6153,Moderate
synthetic,,,,18.91,9.5,4.44,17.72,0.4925,Moderate
synthetic,,,,27.12,8.46,0.96,44.96,0.5135,Moderate
synthetic,,,,35.7,7.5,11.91,53.14,0.7914,High
synthetic,,,,26.4,3.02,11.4,36.63,0.5696,Moderate
synthetic,,,,29.54,4.03,6.96,71.98,0.6104,Moderate
synthetic,,,,20.36,9.07,5.32,64.71,0.6266,Moderate
synthetic,,,,13.69,4.08,5.56,12.58,0.3349,Low
synthetic,,,,3.67,6.67,8.04,66.29,0.523,Moderate
synthetic,,,,0.79,3.27,2.77,77.82,0.3389,Low
synthetic,,,,34.43,2.47,8.18,12.94,0.4796,Moderate
synthetic,,,,11.01,1.39,3.76,67.47,0.3505,Low
synthetic,,,,36.41,2.03,6.73,70.14,0.5938,Moderate
synthetic,,,,38.12,6.1,3.43,62.55,0.6187,Moderate
synthetic,,,,12.82,9.76,5.1,68.54,0.6017,Moderate
synthetic,,,,0.93,4.0,10.56,61.02,0.4785,Moderate
synthetic,,,,17.76,9.36,10.32,32.22,0.6405,Moderate
synthetic,,,,21.78,4.9,7.77,33.41,0.504,Moderate
synthetic,,,,9.77,9.13,11.12,84.33,0.7318,High
synthetic,,,,39.13,7.45,9.29,76.26,0.8151,High
synthetic,,,,19.22,4.56,3.26,64.48,0.4634,Moderate
synthetic,,,,11.57,2.58,7.24,41.0,0.3901,Moderate
synthetic,,,,8.75,8.16,10.4,16.77,0.5172,Moderate
synthetic,,,,0.3,3.36,9.67,83.92,0.4972,Moderate
synthetic,,,,5.53,7.74,1.83,39.01,0.3638,Low
synthetic,,,,39.94,1.93,2.27,42.28,0.4508,Moderate
synthetic,,,,24.79,9.33,11.78,6.96,0.651,Moderate
synthetic,,,,5.52,7.91,3.61,88.48,0.5287,Moderate
synthetic,,,,26.54,1.12,10.07,17.64,0.4478,Moderate
synthetic,,,,16.94,5.52,6.26,68.62,0.5459,Moderate
synthetic,,,,26.11,9.92,11.99,51.65,0.7902,High
synthetic,,,,3.81,7.28,11.73,31.83,0.5298,Moderate
synthetic,,,,18.45,4.25,1.09,67.23,0.4123,Moderate
synthetic,,,,14.13,7.87,10.07,82.12,0.7003,High
synthetic,,,,16.67,3.22,9.11,80.14,0.5747,Moderate
synthetic,,,,19.65,8.93,2.15,87.91,0.6107,Moderate
synthetic,,,,3.84,1.54,6.64,6.75,0.2176,Low
synthetic,,,,2.11,0.01,5.52,77.46,0.3219,Low
synthetic,,,,1.39,6.52,9.97,16.8,0.4214,Moderate
synthetic,,,,5.87,8.61,9.97,53.89,0.5943,Moderate
synthetic,,,,32.77,0.93,5.04,73.78,0.5174,Moderate
synthetic,,,,10.3,7.52,6.3,75.03,0.5712,Moderate
synthetic,,,,18.59,3.68,3.02,20.84,0.3232,Low
synthetic,,,,30.06,1.19,1.49,17.63,0.2927,Low
synthetic,,,,7.01,8.23,5.08,99.04,0.6031,Moderate
synthetic,,,,5.49,6.54,5.66,39.29,0.4138,Moderate
synthetic,,,,35.0,9.76,10.54,19.23,0.7303,High
synthetic,,,,8.83,6.56,3.82,73.47,0.4826,Moderate
synthetic,,,,22.66,5.51,10.03,71.05,0.6659,Moderate
synthetic,,,,1.06,0.49,7.42,48.62,0.2951,Low
synthetic,,,,10.41,4.19,9.22,82.66,0.5684,Moderate
synthetic,,,,22.45,3.85,3.61,52.19,0.4424,Moderate
synthetic,,,,12.59,5.64,8.28,6.61,0.4088,Moderate
synthetic,,,,0.04,2.12,10.79,64.63,0.4396,Moderate
synthetic,,,,6.88,8.9,5.9,47.61,0.5076,Moderate
synthetic,,,,37.42,0.59,2.97,58.58,0.4572,Moderate
synthetic,,,,7.82,6.8,2.96,9.92,0.3053,Low
synthetic,,,,8.28,4.23,2.53,13.47,0.2437,Low
synthetic,,,,34.41,3.2,4.65,5.53,0.4058,Moderate
synthetic,,,,14.29,2.65,7.52,20.54,0.3636,Low
synthetic,,,,35.53,9.3,1.65,10.74,0.5157,Moderate
synthetic,,,,4.61,6.2,1.9,85.24,0.4365,Moderate
synthetic,,,,30.17,8.2,6.55,99.67,0.7791,High
synthetic,,,,1.77,4.01,4.23,94.86,0.4365,Moderate
synthetic,,,,23.07,8.06,2.46,97.86,0.6416,Moderate
synthetic,,,,19.95,4.94,11.67,38.07,0.5863,Moderate
synthetic,,,,15.9,5.85,1.97,32.11,0.3669,Low
synthetic,,,,7.73,1.03,10.46,58.93,0.4394,Moderate
synthetic,,,,14.35,4.09,5.46,63.31,0.4639,Moderate
synthetic,,,,37.07,9.33,5.0,32.93,0.6514,Moderate
synthetic,,,,18.04,5.68,5.81,65.88,0.5405,Moderate
synthetic,,,,22.18,3.21,4.48,37.86,0.4067,Moderate
synthetic,,,,3.79,1.66,8.82,38.91,0.3461,Low
synthetic,,,,8.58,5.63,9.19,25.74,0.4501,Moderate
synthetic,,,,33.07,9.28,7.37,66.89,0.7594,High
synthetic,,,,2.1,9.46,5.01,92.39,0.5849,Moderate
synthetic,,,,23.16,0.05,0.94,68.04,0.3357,Low
synthetic,,,,22.51,0.27,9.05,85.21,0.5489,Moderate
synthetic,,,,19.86,4.66,0.56,78.66,0.4489,Moderate
synthetic,,,,13.23,8.79,4.79,56.51,0.5434,Moderate
synthetic,,,,10.81,1.61,9.41,49.66,0.428,Moderate
synthetic,,,,21.46,9.65,11.58,85.56,0.8307,High
synthetic,,,,7.5,5.94,10.6,37.45,0.5099,Moderate
synthetic,,,,4.04,8.11,6.04,56.44,0.495,Moderate
synthetic,,,,39.29,6.07,5.39,37.0,0.6021,Moderate
synthetic,,,,16.7,1.18,9.64,83.77,0.5443,Moderate
synthetic,,,,11.38,3.04,10.55,2.4,0.3729,Low
synthetic,,,,20.82,4.64,8.44,16.34,0.4626,Moderate
synthetic,,,,26.73,3.77,7.62,4.01,0.4299,Moderate
synthetic,,,,18.47,5.22,2.96,13.96,0.3427,Low
synthetic,,,,7.54,3.44,1.61,94.73,0.4036,Moderate
synthetic,,,,16.2,8.09,11.71,8.07,0.5675,Moderate
synthetic,,,,26.07,8.71,7.79,42.9,0.6504,Moderate
synthetic,,,,17.24,0.36,6.65,99.35,0.5036,Moderate
synthetic,,,,38.35,0.4,8.62,30.18,0.5047,Moderate
synthetic,,,,36.12,0.45,11.26,83.75,0.681,Moderate
synthetic,,,,4.7,0.6,10.1,15.58,0.2937,Low
synthetic,,,,21.4,9.16,7.03,39.72,0.6083,Moderate
synthetic,,,,17.8,0.63,11.64,31.07,0.4472,Moderate
synthetic,,,,7.57,2.86,11.59,9.43,0.3839,Low
synthetic,,,,34.69,7.08,10.05,97.59,0.847,High
synthetic,,,,33.69,9.43,1.96,79.58,0.6862,Moderate
synthetic,,,,21.83,5.43,10.84,97.18,0.741,High
synthetic,,,,28.19,4.83,5.75,38.63,0.5133,Moderate
synthetic,,,,14.46,3.92,1.53,7.74,0.2396,Low
synthetic,,,,31.19,4.46,11.2,61.22,0.6929,High
synthetic,,,,1.41,1.58,2.87,97.57,0.3518,Low
synthetic,,,,8.75,5.16,11.27,97.72,0.6626,Moderate
synthetic,,,,9.45,0.49,2.27,6.33,0.1344,Low
synthetic,,,,7.8,5.69,10.99,53.72,0.5543,Moderate
synthetic,,,,25.04,2.02,9.71,61.78,0.5636,Moderate
synthetic,,,,34.57,9.49,4.5,9.06,0.5697,Moderate
synthetic,,,,9.04,4.38,11.38,37.83,0.4975,Moderate
synthetic,,,,30.83,5.4,2.6,32.07,0.4622,Moderate
synthetic,,,,26.13,6.73,5.5,22.86,0.5033,Moderate
synthetic,,,,28.88,1.69,11.27,18.79,0.5045,Moderate
synthetic,,,,4.29,4.98,6.47,50.82,0.4132,Moderate
synthetic,,,,17.47,9.95,6.09,47.79,0.6043,Moderate
synthetic,,,,16.87,0.67,7.32,22.8,0.3316,Low
synthetic,,,,25.5,0.51,11.79,46.9,0.5349,Moderate
synthetic,,,,35.87,4.76,1.19,82.22,0.5735,Moderate
synthetic,,,,25.93,7.82,5.42,63.79,0.63,Moderate
synthetic,,,,34.25,6.31,4.5,66.25,0.6312,Moderate
synthetic,,,,26.87,9.61,4.77,42.51,0.6137,Moderate
synthetic,,,,32.48,5.06,8.97,45.97,0.6313,Moderate
synthetic,,,,8.62,7.45,2.01,19.86,0.3317,Low
synthetic,,,,25.07,7.47,10.79,27.26,0.6364,Moderate
synthetic,,,,4.43,9.56,2.28,19.77,0.3635,Low
synthetic,,,,11.65,5.29,10.65,76.05,0.6172,Moderate
synthetic,,,,28.33,1.75,4.61,47.84,0.4365,Moderate
synthetic,,,,5.9,2.73,4.05,12.73,0.2213,Low
synthetic,,,,22.01,7.05,1.3,48.11,0.4613,Moderate
synthetic,,,,31.29,7.48,9.87,44.82,0.7003,High
synthetic,,,,32.82,2.41,4.65,17.64,0.4063,Moderate
synthetic,,,,18.7,3.92,3.27,75.18,0.471,Moderate
synthetic,,,,12.55,2.73,2.01,43.88,0.2981,Low
synthetic,,,,12.12,3.69,3.21,76.32,0.4258,Moderate
synthetic,,,,37.2,4.98,7.89,86.72,0.7382,High
synthetic,,,,39.95,6.14,10.73,90.86,0.8538,High
synthetic,,,,31.66,4.61,1.43,1.58,0.3469,Low
synthetic,,,,19.09,4.94,5.18,56.82,0.4929,Moderate
synthetic,,,,22.09,8.37,1.75,22.52,0.4399,Moderate
synthetic,,,,31.72,8.48,11.94,87.29,0.8772,High
synthetic,,,,35.6,3.14,5.12,26.81,0.4747,Moderate
synthetic,,,,24.25,9.39,4.46,55.7,0.6185,Moderate
